Name,Street Address,Road,City,State,Brewery License,License Date,Status,Address
Local Group Brewing Company,1504,CHAPMAN STREET,HOUSTON,TX,Brewpub,2/25/2019,In the works,"1504 CHAPMAN STREET, HOUSTON, TX"
Loco Meaux,302,E MAIN STREET SUITE 200,KILGORE,TX,Brewpub,6/22/2018,In the works,"302 E MAIN STREET SUITE 200, KILGORE, TX"
Longtab Brewing Company,4700,TIMCO WEST SUITE 105,LEON VALLEY,TX,Brewpub,5/16/2018,In the works,"4700 TIMCO WEST SUITE 105, LEON VALLEY, TX"
Lt Mesquite Brew Co,3096,HWY 90 WEST SUITE C,CASTROVILLE,TX,Brewpub,3/1/2018,Open,"3096 HWY 90 WEST SUITE C, CASTROVILLE, TX"
Mad Pecker Brewing Co.,6025,TEZEL ROAD '122',SAN ANTONIO,TX,Brewpub,6/18/2015,Open,"6025 TEZEL ROAD '122', SAN ANTONIO, TX"
Malai Kitchen,1161,E SOUTHLAKE BOULEVARD,SOUTHLAKE,TX,Brewpub,11/19/2015,Open,"1161 E SOUTHLAKE BOULEVARD, SOUTHLAKE, TX"
Malai Kitchen,5289,MONAHANS AVENUE SUITE 100,FORT WORTH,TX,Brewpub,5/31/2017,Open,"5289 MONAHANS AVENUE SUITE 100, FORT WORTH, TX"
Malai Restaurant,3699,MCKINNEY AVENUE SUITE C319,DALLAS,TX,Brewpub,11/24/2010,Open,"3699 MCKINNEY AVENUE SUITE C319, DALLAS, TX"
Megaton Brewery,808,RUSSELL PALMER ROAD,KINGWOOD,TX,Brewpub,10/10/2017,Open,"808 RUSSELL PALMER ROAD, KINGWOOD, TX"
Middleton Brewing,101,OAKWOOD LOOP,SAN MARCOS,TX,Brewpub,7/15/2011,Open,"101 OAKWOOD LOOP, SAN MARCOS, TX"
Neches Brewing Company,1108,PORT NECHES AVENUE,PORT NECHES,TX,Brewpub,6/9/2016,Open,"1108 PORT NECHES AVENUE, PORT NECHES, TX"
Neighbor's Kitchn & Yard/Iron Bridge Ice House,601,CHESTNUT STREET SUITE C AND E,BASTROP,TX,Brewpub,5/23/2018,In the works,"601 CHESTNUT STREET SUITE C AND E, BASTROP, TX"
New Braunfels Brewing Company,180,W MILL STREET SUITE 100,NEW BRAUNFELS,TX,Brewpub,10/23/2013,Open,"180 W MILL STREET SUITE 100, NEW BRAUNFELS, TX"
New Magnolia Brewing Co.,1616,BEVIS STREET,HOUSTON,TX,Brewpub,7/18/2018,In the works,"1616 BEVIS STREET, HOUSTON, TX"
New Main Brewing Co.,3533,MARATHON STREET,PANTEGO,TX,Brewpub,11/28/2017,Open,"3533 MARATHON STREET, PANTEGO, TX"
No Label Brewing Co,5351,1ST STREET 'B',KATY,TX,Brewpub,10/17/2017,Open,"5351 1ST STREET 'B', KATY, TX"
Noble Rey Brewing Company,2636,FARRINGTON STREET,DALLAS,TX,Brewpub,6/12/2015,Open,"2636 FARRINGTON STREET, DALLAS, TX"
Nocona Beer,915,HWY 82 EAST,NOCONA,TX,Brewpub,1/17/2019,Open,"915 HWY 82 EAST, NOCONA, TX"
Nomadic Beerworks,3804,WOODBURY DRIVE SUITE A,AUSTIN,TX,Brewpub,9/18/2018,Open,"3804 WOODBURY DRIVE SUITE A, AUSTIN, TX"
North By Northwest,10010,N CAPITAL OF TEXAS HWY,AUSTIN,TX,Brewpub,8/27/1999,Open,"10010 N CAPITAL OF TEXAS HWY, AUSTIN, TX"
Nueces Brewing Company,401,S WATER STREET,CORPUS CHRISTI,TX,Brewpub,4/16/2019,Open,"401 S WATER STREET, CORPUS CHRISTI, TX"
Oakfire Pizza And Brew,107,N EAST STREET,BELTON,TX,Brewpub,7/2/2018,In the works,"107 N EAST STREET, BELTON, TX"
Oasis Texas Brewing Company,6550,COMANCHE TRAIL SUITE B301,AUSTIN,TX,Brewpub,3/19/2014,Open,"6550 COMANCHE TRAIL SUITE B301, AUSTIN, TX"
Oddwood Ales,3108,MANOR ROAD,AUSTIN,TX,Brewpub,4/3/2017,Open,"3108 MANOR ROAD, AUSTIN, TX"
Ode Brewing,3233,N MESA STREET SUITE 301,EL PASO,TX,Brewpub,2/5/2015,Open,"3233 N MESA STREET SUITE 301, EL PASO, TX"
Oil Horse Brewing Co,101,W TYLER STREET,LONGVIEW,TX,Brewpub,11/22/2017,Open,"101 W TYLER STREET, LONGVIEW, TX"
Old Sheepdog Brewery,3900,ROSA AVENUE,EL PASO,TX,Brewpub,2/13/2019,In the works,"3900 ROSA AVENUE, EL PASO, TX"
Old Texas Brewing Company,112,W ELLISON STREET,BURLESON,TX,Brewpub,5/2/2013,Open,"112 W ELLISON STREET, BURLESON, TX"
On Rotation Brewhouse,7328,GASTON AVENUE SUITE 110,DALLAS,TX,Brewpub,12/1/2014,Open,"7328 GASTON AVENUE SUITE 110, DALLAS, TX"
Oneil And Sons Brewing Company,206,S COMMERCE,PORT LAVACA,TX,Brewpub,6/3/2016,Open,"206 S COMMERCE, PORT LAVACA, TX"
Outfit Brewery,7135,JOHN CARPENTER FREEWAY,DALLAS,TX,Brewpub,5/21/2018,Open,"7135 JOHN CARPENTER FREEWAY, DALLAS, TX"
Outlaw's Bar B Que,100,W FERGUSON ROAD,MOUNT PLEASANT,TX,Brewpub,2/7/2019,Open,"100 W FERGUSON ROAD, MOUNT PLEASANT, TX"
Padre Island Brewing Co. Inc.,3400,PADRE BOULEVARD,SOUTH PADRE ISLAND,TX,Brewpub,5/29/2007,Open,"3400 PADRE BOULEVARD, SOUTH PADRE ISLAND, TX"
Panther Island Brewing,501,N MAIN STREET,FORT WORTH,TX,Brewpub,5/17/2018,Open,"501 N MAIN STREET, FORT WORTH, TX"
Pappy Slokum Brewing Co,409,S TREADAWAY BOULEVARD,ABILENE,TX,Brewpub,1/27/2014,Open,"409 S TREADAWAY BOULEVARD, ABILENE, TX"
Parker County Brewing Company,225,SHOPS BOULEVARD,WILLOW PARK,TX,Brewpub,11/30/2017,Open,"225 SHOPS BOULEVARD, WILLOW PARK, TX"
Pecan Point Brewing Co.,213,MAIN STREET,TEXARKANA,TX,Brewpub,5/16/2014,Open,"213 MAIN STREET, TEXARKANA, TX"
